Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
"Homeland Security, Law Enforcement, Firefighting",Delaware,Commuter,All Scholarship Types,Male,FT,Athelete,17,S,2002,,107,93,3,1.7,3.5,2,1,2,2006,6,2010,
Family and Consumer Sciences/human Sciences,Alabama,On-Campus University Housing,Other,Female,FT,RA,24,M,1994,,18,8,5,3,2.5,3,1,2,1998,98,1998,
"Agriculture, Agriculture Operations, and Related Sciences",Hawaii,On-Campus University Housing,Private,Female,FT,Athelete,22,M,1992,,80,21,56,3.1,3.9,1,1,1,1996,96,1997,should you have any questions
"Agriculture, Agriculture Operations, and Related Sciences",Tennessee,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,23,M,2002,,9,5,0,2.9,1.2,4,2,2,2006,6,2008,
"Communication, Journalism, and Related Programs",Wyoming,On-Campus Dorm,Other,Female,FT,Non-Athlete,24,M,1988,,82,35,26,2.7,3,3,2,4,1992,92,1993,
Engineering Technologies and Engineering-Related Fields,Oklahoma,On-Campus Dorm,None,Male,PT,Non-Athlete,25,M,1987,,96,79,13,3.6,2.7,1,2,1,1991,91,1995,
Family and Consumer Sciences/human Sciences,Alabama,On-Campus University Housing,None,Female,FT,Athelete,18,M,2001,,133,13,110,3.2,3.4,0,1,3,2005,5,2006,meticulous attention to detail
Communications Technologies/technicians and Support Services,Colorado,Off-Campus Other,None,Female,PT,RA,25,S,1999,,136,47,11,1.7,3.5,1,1,4,2003,3,2004,would be an asset to your program
Engineering Technologies and Engineering-Related Fields,Dist. of Columbia,On-Campus Dorm,Other,Female,FT,Non-Athlete,24,M,1998,,16,6,9,1.6,1.1,3,2,0,2002,2,2004,
Undeclared,Nebraska,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,25,S,2004,,74,41,29,3.2,2.4,4,2,2,2008,8,2010,willing to take on new responsibilities
Education,California,On-Campus Dorm,Other,Female,FT,Athelete,18,S,1995,,51,16,26,2.2,3.7,0,1,1,1999,99,1999,will measure up to your high standards
Engineering Technologies and Engineering-Related Fields,Delaware,Off-Campus University Housing,Other,Male,FT,Athelete,18,M,2004,,4,1,0,1,4,2,2,0,2008,8,2010,
"Agriculture, Agriculture Operations, and Related Sciences",Alaska,On-Campus University Housing,Private,Female,PT,RA,22,S,2002,,54,2,26,1.8,3.7,0,1,4,2006,6,2006,
All Majors,Wisconsin,Commuter,None,Female,FT,Non-Athlete,20,S,1986,,141,89,4,3.5,,4,1,2,1990,90,1993,has a flair for organization
Multi/interdisciplinary Studies,Nevada,Off-Campus University Housing,University,Female,FT,Non-Athlete,19,M,1997,,67,64,3,1.2,2.8,3,2,4,2001,1,2004,handles responsibility well
Library Science,New York,Commuter,All Scholarship Types,Female,FT,Non-Athlete,22,M,1986,,147,108,10,3.3,1.8,2,2,1,1990,90,1994,will measure up to your high standards
Engineering Technologies and Engineering-Related Fields,Delaware,On-Campus University Housing,None,Male,PT,Athelete,20,S,1985,,132,42,46,1,3.9,0,1,0,1989,89,1992,handles responsibility well
Engineering Technologies and Engineering-Related Fields,Washington,Commuter,Private,Female,PT,RA,20,M,1986,,127,13,18,1,1.5,1,1,2,1990,90,1992,am happy to recommend
History,Rhode Island,On-Campus Dorm,All Scholarship Types,Male,PT,RA,17,M,1991,,51,24,5,2.9,0.75,3,1,1,1995,95,1999,
Engineering,North Dakota,Off-Campus Other,None,Female,FT,Non-Athlete,23,M,1985,,14,6,1,1.8,3.8,2,1,4,1989,89,1991,am happy to recommend
Military Technologies and Applied Sciences,South Dakota,On-Campus University Housing,Private,Male,FT,Non-Athlete,24,M,1989,,79,14,3,,3.8,3,2,2,1993,93,1995,
All Majors,Florida,Off-Campus University Housing,Other,Female,FT,RA,18,M,2004,,60,21,14,2.6,2.5,3,2,2,2008,8,2010,
English Language and Literature/letters,Rhode Island,Commuter,None,Female,FT,RA,17,M,1990,,43,23,16,2.7,1.3,0,2,0,1994,94,1997,
Multi/interdisciplinary Studies,Oregon,Off-Campus University Housing,University,Female,PT,Non-Athlete,25,M,2003,,67,38,18,3.1,3.2,1,1,3,2007,7,2009,
History,North Carolina,On-Campus University Housing,Other,Male,FT,Non-Athlete,25,M,1999,,32,6,1,1,3.4,3,2,4,2003,3,2003,handles responsibility well
"Area, Ethnic, Cultural, Gender, and Group Studies",Massachusetts,On-Campus University Housing,None,Female,FT,RA,22,M,2005,,119,109,4,1,1.7,0,2,3,2009,9,2011,can offer only the highest recommendation for
Mathematics and Statistics,West Virginia,On-Campus University Housing,Private,Male,PT,Athelete,23,S,1987,,133,123,8,3.4,3.4,1,2,1,1991,91,1995,handles responsibility well
Communications Technologies/technicians and Support Services,All Locations,On-Campus Dorm,Other,Male,PT,Athelete,24,M,2004,,131,115,11,3.7,3.7,1,2,4,2008,8,2009,if you need additional information
Engineering Technologies and Engineering-Related Fields,Indiana,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,20,S,2004,,128,79,1,3.5,1.4,3,2,4,2008,8,2008,
"Agriculture, Agriculture Operations, and Related Sciences",Puerto Rico,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,23,S,1999,,65,54,0,2.7,1.4,3,2,0,2003,3,2004,was a student in two of my classes
"Homeland Security, Law Enforcement, Firefighting",Illinois,Commuter,None,Female,FT,RA,21,S,1985,,15,7,6,1.1,2.9,0,1,1,1989,89,1991,
"Homeland Security, Law Enforcement, Firefighting",Arkansas,Off-Campus Other,Private,Female,FT,RA,22,M,2002,,84,56,24,2.7,0.75,1,2,0,2006,6,2006,
Architecture and Related Services,South Dakota,Commuter,Other,Female,FT,Athelete,18,M,1993,,38,10,12,3.5,3.8,3,2,3,1997,97,1999,her performance as a
Communications Technologies/technicians and Support Services,New York,Off-Campus Other,Private,Female,PT,Athelete,22,S,2000,,103,24,35,,3.5,2,1,2,2004,4,2008,
"Business, Management, Marketing, and Related Support Services",New Mexico,Off-Campus University Housing,University,Male,FT,Athelete,23,S,1990,,68,2,9,1.2,3.4,3,2,2,1994,94,1995,
"Business, Management, Marketing, and Related Support Services",New Hampshire,On-Campus Dorm,All Scholarship Types,Male,FT,RA,18,S,2005,,31,6,16,3.7,1.6,0,1,3,2009,9,2011,willing to go beyond what is required
"Area, Ethnic, Cultural, Gender, and Group Studies",American,Commuter,None,Male,FT,Non-Athlete,21,S,1995,,122,64,57,2.6,3.5,0,1,0,1999,99,2003,
Mathematics and Statistics,Oklahoma,On-Campus Dorm,Private,Male,FT,Non-Athlete,19,S,1997,,103,67,14,,3.7,2,1,4,2001,1,2005,always cheerful and dependable
Computer and Information Sciences and Support Services,Indiana,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,23,S,1987,,143,41,83,2.4,2.4,1,1,1,1991,91,1991,
Engineering,North Dakota,Commuter,University,Female,PT,RA,20,M,2004,,141,78,37,,0.75,2,2,0,2008,8,2010,
"Business, Management, Marketing, and Related Support Services",Marshall Islands,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,17,M,1991,,49,47,2,0.75,2.4,4,2,2,1995,95,1996,willing to take on new responsibilities
Health Professions and Related Programs,Georgia,Off-Campus Other,University,Male,FT,RA,20,S,1994,,66,62,0,1.8,2.4,4,2,2,1998,98,1999,will be successful in any enterprise he undertakes
Multi/interdisciplinary Studies,Delaware,On-Campus Dorm,Private,Male,FT,Athelete,21,S,1993,,26,4,20,2.1,3.7,3,2,4,1997,97,2000,give my unqualified recommendation
Biological and Biomedical Sciences,New Mexico,On-Campus University Housing,Other,Female,FT,RA,25,S,1992,,5,5,0,1.3,2.8,3,2,2,1996,96,1998,"comparable to peers,"
Communications Technologies/technicians and Support Services,Nebraska,Commuter,None,Female,FT,RA,24,M,1996,,128,61,1,3.1,2.2,3,1,0,2000,0,2000,am pleased to comment on
Health Professions and Related Programs,Utah,On-Campus Dorm,None,Female,FT,Athelete,24,S,1996,,70,10,42,4,3.7,2,2,3,2000,0,2000,
Family and Consumer Sciences/human Sciences,Oregon,Commuter,University,Male,PT,RA,24,M,1991,,139,12,90,1.3,1.3,2,2,1,1995,95,1995,understands/utilizes
"Foreign Languages, Literatures, and Linguistics",Rhode Island,Off-Campus Other,None,Female,PT,Non-Athlete,17,M,1995,,24,1,13,2.2,3.9,2,1,4,1999,99,2001,always behaves professionally
Military Technologies and Applied Sciences,Kentucky,Off-Campus Other,Private,Female,PT,Non-Athlete,19,S,2003,,99,12,78,2.9,2.6,3,2,3,2007,7,2010,his qualifications and performance
Education,American,Off-Campus University Housing,Other,Female,FT,Non-Athlete,21,M,1990,,140,17,0,2.8,3.6,0,1,1,1994,94,1997,recommend without reservation
Engineering Technologies and Engineering-Related Fields,Kentucky,On-Campus Dorm,Private,Male,PT,Athelete,17,S,1989,,84,3,25,2.5,3.9,1,1,3,1993,93,1993,
Mathematics and Statistics,Marshall Islands,Commuter,Private,Female,PT,Athelete,19,M,1987,,24,2,21,1.1,3.9,3,1,0,1991,91,1991,works well with little supervision
Library Science,New Hampshire,Commuter,None,Male,FT,Non-Athlete,20,M,1986,,58,12,46,2.6,3,2,2,4,1990,90,1991,
English Language and Literature/letters,Ohio,Off-Campus Other,Private,Male,FT,Non-Athlete,21,S,1991,,71,29,9,3.9,1.8,2,2,0,1995,95,1998,has worked directly under my supervision
Construction Trades,Georgia,Off-Campus University Housing,None,Male,FT,RA,17,S,1997,,142,80,51,2.7,1.2,0,2,0,2001,1,2001,
Engineering Technologies and Engineering-Related Fields,California,Off-Campus University Housing,Private,Male,PT,Non-Athlete,20,S,1994,,129,12,104,3.6,1.8,0,1,0,1998,98,1999,will meet your expectations
Family and Consumer Sciences/human Sciences,Puerto Rico,Off-Campus Other,None,Male,PT,Non-Athlete,18,S,1999,,92,34,26,2.1,3.6,3,2,3,2003,3,2006,
Military Technologies and Applied Sciences,Northern Marianas,Off-Campus Other,University,Male,FT,Non-Athlete,25,M,1991,,55,45,0,3.9,3.7,0,1,2,1995,95,1997,give my unqualified recommendation
"Communication, Journalism, and Related Programs",American,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,23,S,1999,,43,32,0,2.2,2,3,2,3,2003,3,2007,ADHD
Architecture and Related Services,Hawaii,Off-Campus Other,University,Male,FT,Athelete,21,S,1997,,9,2,2,3.8,3.7,1,1,4,2001,1,2004,
All Majors,North Dakota,On-Campus Dorm,University,Male,PT,RA,19,S,1999,,51,41,7,2.9,2.6,3,1,1,2003,3,2003,
Legal Professions and Studies,Montana,Off-Campus University Housing,None,Female,FT,Athelete,23,S,2003,,37,10,26,3.2,3.4,1,1,4,2007,7,2009,request your favorable consideration of
Family and Consumer Sciences/human Sciences,Utah,Off-Campus Other,All Scholarship Types,Female,PT,RA,23,S,1986,,5,0,2,0.75,,4,2,2,1990,90,1990,
Library Science,West Virginia,Commuter,Other,Female,FT,RA,21,S,1989,,70,45,24,3,2.3,2,1,0,1993,93,1996,conventions/grammar rule
Architecture and Related Services,Missouri,Off-Campus University Housing,University,Female,PT,RA,22,S,1997,,85,17,57,1.2,3,4,2,3,2001,1,2002,meticulous attention to detail
"Area, Ethnic, Cultural, Gender, and Group Studies",Florida,On-Campus Dorm,University,Male,FT,Non-Athlete,20,M,1991,,149,106,27,2.8,1.3,1,2,4,1995,95,1996,punctual and hard working
Communications Technologies/technicians and Support Services,Guam,On-Campus University Housing,University,Female,FT,Non-Athlete,23,S,1989,,149,70,47,1.6,3.4,2,1,2,1993,93,1995,am pleased to comment on
Military Technologies and Applied Sciences,Massachusetts,On-Campus Dorm,University,Male,PT,Non-Athlete,18,S,1988,,37,25,5,3.4,2.3,0,1,0,1992,92,1996,
Mechanic and Repair Technologies/technicians,Delaware,Commuter,University,Female,FT,Athelete,18,S,1991,,79,59,9,3.2,3.5,1,1,4,1995,95,1999,
English Language and Literature/letters,Michigan,Commuter,University,Female,FT,RA,25,S,1986,,39,23,0,1.3,3.7,2,1,1,1990,90,1991,completely loyal and trustworthy
Aviation,Micronesia,Off-Campus University Housing,None,Male,FT,Athelete,17,M,1990,,138,4,57,2,,3,2,1,1994,94,1994,will be a credit to your
Family and Consumer Sciences/human Sciences,Minnesota,Off-Campus Other,Private,Female,PT,Non-Athlete,18,M,1999,,106,25,12,2.2,2.4,4,2,1,2003,3,2004,"comparable to peers,"
"Communication, Journalism, and Related Programs",Florida,On-Campus Dorm,University,Female,FT,Athelete,19,M,2002,,135,90,41,3.8,,2,2,4,2006,6,2006,
Family and Consumer Sciences/human Sciences,Louisiana,On-Campus Dorm,Private,Male,FT,RA,22,S,1997,,104,94,1,3.3,3.1,2,2,2,2001,1,2004,request your favorable consideration of
"Foreign Languages, Literatures, and Linguistics",South Dakota,On-Campus University Housing,Other,Female,FT,Athelete,23,M,2002,,97,80,11,1.8,3.5,2,1,3,2006,6,2009,
Family and Consumer Sciences/human Sciences,Alabama,Off-Campus University Housing,Other,Male,PT,Non-Athlete,24,M,2001,,37,34,3,2.1,2,0,2,1,2005,5,2005,
Undeclared,American,Commuter,Private,Male,PT,Non-Athlete,22,M,2005,,118,13,88,1.7,2.6,0,2,0,2009,9,2011,
Engineering Technologies and Engineering-Related Fields,South Dakota,Off-Campus University Housing,University,Female,PT,Athelete,25,M,1998,,115,94,18,3.2,4,4,1,0,2002,2,2002,would be a valuable addition to any organization
"Business, Management, Marketing, and Related Support Services",Vermont,On-Campus Dorm,None,Male,PT,Non-Athlete,18,M,2000,,148,117,11,2.8,3.6,2,1,3,2004,4,2007,will measure up to your high standards
Engineering,New Jersey,Off-Campus Other,None,Male,FT,RA,25,M,2001,,91,53,35,1,3.8,1,1,3,2005,5,2008,keeps calm under pressure
Architecture and Related Services,New Jersey,Commuter,University,Female,FT,Non-Athlete,23,S,2005,,38,23,15,3.2,4,2,1,3,2009,9,2012,first became acquainted with
Mechanic and Repair Technologies/technicians,Alabama,On-Campus Dorm,University,Male,PT,Athelete,21,M,1989,,53,38,8,2.7,4,4,1,0,1993,93,1993,can offer only the highest recommendation for
Computer and Information Sciences and Support Services,Washington,Off-Campus University Housing,University,Male,FT,Athelete,19,M,1992,,34,10,24,1.8,3.7,4,2,3,1996,96,1998,a creative problem-solver
Multi/interdisciplinary Studies,Mississippi,Off-Campus Other,All Scholarship Types,Male,PT,RA,20,S,1985,,71,32,17,0.75,2.3,2,2,0,1989,89,1990,was a student in two of my classes
Legal Professions and Studies,New Jersey,On-Campus Dorm,None,Male,FT,RA,22,M,2005,,99,43,43,1.8,2.8,0,1,4,2009,9,2009,
"Communication, Journalism, and Related Programs",Alabama,Off-Campus Other,All Scholarship Types,Female,FT,Non-Athlete,22,M,2003,,14,4,0,2.2,1.4,3,1,0,2007,7,2011,
Library Science,Colorado,Commuter,University,Female,FT,Non-Athlete,19,M,1986,,40,2,30,3.1,3.2,4,1,4,1990,90,1993,is a pleasure to recommend
Education,Maryland,Off-Campus University Housing,Private,Male,PT,RA,22,S,1995,,10,5,3,4,3.9,1,2,1,1999,99,2003,always behaves professionally
"Agriculture, Agriculture Operations, and Related Sciences",Iowa,Off-Campus University Housing,Other,Female,FT,RA,19,S,1987,,35,29,5,1.1,3.3,2,2,0,1991,91,1995,her performance as a
Military Technologies and Applied Sciences,All Locations,Commuter,University,Male,PT,Non-Athlete,17,M,1989,,47,18,19,2.4,3.2,2,1,1,1993,93,1997,
Engineering Technologies and Engineering-Related Fields,Michigan,Off-Campus University Housing,None,Female,PT,Non-Athlete,21,M,1998,,10,3,1,1,1.6,0,1,0,2002,2,2004,keeps calm under pressure
Family and Consumer Sciences/human Sciences,Dist. of Columbia,Off-Campus Other,None,Female,FT,Athelete,20,M,1999,,127,91,1,2.6,3.8,4,1,1,2003,3,2006,am happy to recommend
"Foreign Languages, Literatures, and Linguistics",Mississippi,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,20,M,2005,,139,57,76,3.4,3.9,4,2,3,2009,9,2013,
Health Professions and Related Programs,Arkansas,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,22,S,1998,,48,24,5,3.9,3.5,2,2,1,2002,2,2005,
Legal Professions and Studies,Alabama,On-Campus Dorm,All Scholarship Types,Female,FT,Non-Athlete,18,M,1996,,69,44,10,2.9,4,4,1,0,2000,0,2004,
History,Montana,Off-Campus Other,Other,Male,FT,Non-Athlete,19,S,1989,,55,8,2,3.8,1.4,1,2,4,1993,93,1994,have been his supervisor since
Computer and Information Sciences and Support Services,Minnesota,Off-Campus Other,None,Female,FT,Non-Athlete,21,M,1992,,61,46,10,2.9,3.7,4,2,1,1996,96,2000,first became acquainted with
English Language and Literature/letters,Louisiana,Commuter,All Scholarship Types,Male,PT,Athelete,23,S,2002,,5,2,0,2.4,3.8,3,2,4,2006,6,2010,
Legal Professions and Studies,Palau,Off-Campus University Housing,Other,Male,PT,RA,21,M,1995,,43,4,39,4,0.75,2,1,2,1999,99,2002,careful attention to detail
Computer and Information Sciences and Support Services,Minnesota,On-Campus Dorm,Private,Female,FT,Athelete,17,M,1997,,146,23,90,3.1,3.6,1,2,4,2001,1,2002,careful attention to detail
Undeclared,Louisiana,Commuter,Private,Female,FT,Athelete,19,M,2002,,83,83,0,1.5,4,4,2,4,2006,6,2006,
"Communication, Journalism, and Related Programs",West Virginia,Commuter,University,Female,FT,Athelete,18,M,1989,,44,7,9,0.75,3.1,1,2,3,1993,93,1993,will be a credit to your
Engineering Technologies and Engineering-Related Fields,Washington,Commuter,None,Male,PT,Non-Athlete,23,S,2005,,72,3,14,3.4,2.1,3,2,2,2009,9,2013,
"Area, Ethnic, Cultural, Gender, and Group Studies",North Carolina,Off-Campus University Housing,University,Male,FT,Athelete,17,M,1995,,71,69,0,2.6,3.8,4,2,2,1999,99,2002,self-motivated individual
Communications Technologies/technicians and Support Services,Dist. of Columbia,Off-Campus Other,Other,Male,FT,RA,19,M,1997,,8,0,0,1.8,3.4,0,2,4,2001,1,2004,
Architecture and Related Services,Wyoming,Off-Campus Other,Other,Male,PT,Non-Athlete,23,M,1989,,17,16,1,3.6,2.3,3,1,2,1993,93,1995,
"Agriculture, Agriculture Operations, and Related Sciences",Mississippi,On-Campus University Housing,All Scholarship Types,Female,FT,RA,22,S,1986,,67,40,9,3,3,4,1,3,1990,90,1992,her sensitivity and concern for others
History,Virginia,Commuter,University,Female,PT,RA,22,M,1996,,71,67,4,1.6,4,4,1,1,2000,0,2000,
Communications Technologies/technicians and Support Services,Connecticut,Off-Campus University Housing,University,Female,PT,Non-Athlete,23,M,1998,,30,25,0,2.2,2.2,0,1,3,2002,2,2004,
"Business, Management, Marketing, and Related Support Services",Connecticut,Off-Campus Other,Other,Female,PT,Athelete,17,S,1993,,81,35,45,2.3,,2,1,4,1997,97,1997,hope this information proves helpful
"Homeland Security, Law Enforcement, Firefighting",North Carolina,On-Campus Dorm,Private,Female,FT,Athelete,17,M,1995,,85,62,18,2.1,3.8,2,2,0,1999,99,2002,keeps calm under pressure
Aviation,North Dakota,Off-Campus University Housing,Other,Male,PT,Athelete,22,M,2004,,74,1,31,1.7,3.7,0,2,3,2008,8,2012,works efficiently and effectively
Architecture and Related Services,Washington,Commuter,Other,Male,FT,RA,20,S,1996,,134,103,13,3.2,3.6,3,2,1,2000,0,2004,
History,Dist. of Columbia,Off-Campus University Housing,University,Female,FT,RA,25,S,1999,,6,4,2,2.4,3,3,2,3,2003,3,2005,Builds on knowledge
Undeclared,Pennsylvania,On-Campus Dorm,Other,Male,FT,Athelete,21,S,1994,,38,6,2,1.3,3.9,2,1,2,1998,98,2000,would be pleased to provide a reference for
"Homeland Security, Law Enforcement, Firefighting",North Carolina,On-Campus Dorm,Other,Male,PT,Non-Athlete,17,S,1987,,107,15,31,1.9,1.2,4,2,3,1991,91,1993,works independently and effectively
Engineering Technologies and Engineering-Related Fields,Rhode Island,On-Campus Dorm,All Scholarship Types,Female,PT,Athelete,24,S,2002,,86,84,1,2.4,,2,1,0,2006,6,2009,am honored to support him as a student
Computer and Information Sciences and Support Services,Connecticut,Off-Campus University Housing,All Scholarship Types,Female,PT,Athelete,18,S,1996,,4,1,2,1.4,3.5,4,2,1,2000,0,2000,
Health Professions and Related Programs,Tennessee,Commuter,All Scholarship Types,Female,PT,Non-Athlete,20,M,1995,,11,10,0,2.1,1.6,1,1,4,1999,99,2001,
Legal Professions and Studies,Wyoming,Off-Campus University Housing,University,Male,PT,RA,20,S,1986,,103,48,26,2.2,3.6,4,1,4,1990,90,1991,
Education,Delaware,Off-Campus University Housing,None,Female,PT,RA,20,M,2001,,119,15,21,1.5,3.6,1,1,1,2005,5,2008,keeps calm under pressure
"Homeland Security, Law Enforcement, Firefighting",Michigan,Commuter,None,Female,FT,Non-Athlete,22,S,1997,,49,42,6,2.9,2.8,2,2,2,2001,1,2005,
"Homeland Security, Law Enforcement, Firefighting",Virgin Islands,Off-Campus Other,University,Male,FT,Non-Athlete,23,S,2003,,40,7,25,3.3,3.8,1,1,2,2007,7,2007,
"Business, Management, Marketing, and Related Support Services",American,Off-Campus University Housing,All Scholarship Types,Male,PT,Non-Athlete,22,M,1996,,48,16,0,3,,2,1,4,2000,0,2004,first became acquainted with
"Homeland Security, Law Enforcement, Firefighting",South Dakota,On-Campus Dorm,All Scholarship Types,Female,FT,RA,24,M,2003,,136,61,38,1.4,1.6,3,1,0,2007,7,2010,
History,New York,Commuter,University,Female,FT,Athelete,20,S,1997,,55,54,1,3,3.9,2,2,3,2001,1,2003,in the past two years
"Communication, Journalism, and Related Programs",Oregon,On-Campus University Housing,None,Female,FT,Non-Athlete,19,S,1986,,64,7,49,1.5,3.9,3,1,3,1990,90,1990,
Biological and Biomedical Sciences,Maryland,On-Campus Dorm,Private,Male,FT,Non-Athlete,17,S,1987,,13,7,4,3.8,2.2,2,2,3,1991,91,1992,if you have further questions
Human Services,Montana,Off-Campus Other,None,Female,FT,Athelete,19,M,2002,,30,20,9,,,4,1,3,2006,6,2006,
Architecture and Related Services,Kansas,On-Campus Dorm,University,Male,FT,RA,25,S,1992,,23,1,19,3.7,1.8,4,1,4,1996,96,2000,will meet your expectations
Education,Dist. of Columbia,Off-Campus University Housing,University,Female,PT,Non-Athlete,21,M,1995,,27,27,0,2.4,2,0,1,1,1999,99,2000,
Education,Nevada,On-Campus Dorm,Other,Female,PT,Non-Athlete,19,S,1992,,47,46,1,2.1,1.5,0,1,1,1996,96,1996,
Health Professions and Related Programs,South Carolina,On-Campus Dorm,Other,Female,PT,Athelete,18,M,1986,,141,51,60,3.2,3.9,1,1,2,1990,90,1994,
"Business, Management, Marketing, and Related Support Services",North Carolina,Commuter,None,Male,FT,Non-Athlete,21,S,2004,,72,46,1,1.9,3.6,2,2,3,2008,8,2010,
Biological and Biomedical Sciences,Utah,Commuter,Other,Male,FT,RA,25,M,1993,,86,45,32,3.9,3.6,3,1,1,1997,97,1999,
"Communication, Journalism, and Related Programs",Wyoming,On-Campus University Housing,Private,Male,FT,Non-Athlete,19,S,1992,,3,3,0,3,2.8,4,1,2,1996,96,1998,first became acquainted with
"Area, Ethnic, Cultural, Gender, and Group Studies",North Carolina,Off-Campus Other,Private,Female,FT,Non-Athlete,23,M,1990,,35,2,7,1.2,0.75,0,2,2,1994,94,1998,has a take-charge personality
Liberal Arts and Sciences Studies and Humanities,Louisiana,Commuter,University,Female,PT,Athelete,23,M,1986,,51,2,0,1.8,4,2,2,0,1990,90,1994,am happy to recommend
Legal Professions and Studies,Colorado,On-Campus Dorm,Other,Female,FT,Athelete,20,M,1988,,34,4,8,3.2,,4,1,1,1992,92,1994,would be an asset to your program
Computer and Information Sciences and Support Services,Vermont,Commuter,Other,Male,FT,Non-Athlete,23,S,1988,,59,41,2,2.7,3.2,3,1,4,1992,92,1994,
Construction Trades,North Carolina,Commuter,University,Female,FT,Non-Athlete,23,M,2004,,30,22,1,3,1.1,3,1,4,2008,8,2009,his qualifications and performance
History,New Jersey,Commuter,Private,Female,PT,Non-Athlete,21,M,1995,,139,43,77,3.2,2.3,2,1,2,1999,99,2002,willing to take on new responsibilities
"Business, Management, Marketing, and Related Support Services",Nevada,On-Campus Dorm,Private,Male,PT,Non-Athlete,19,M,1987,,121,22,89,3.8,2.6,3,2,0,1991,91,1991,
Aviation,Rhode Island,Off-Campus University Housing,University,Male,FT,RA,23,S,1986,,23,4,3,1.1,2.5,1,2,0,1990,90,1992,
Engineering,Micronesia,Commuter,Other,Male,PT,RA,22,S,2004,,138,41,33,1.4,2,0,2,3,2008,8,2008,am honored to support him as a student
History,South Dakota,Commuter,University,Female,FT,Non-Athlete,19,S,2000,,60,57,3,4,2.5,3,2,1,2004,4,2004,
Family and Consumer Sciences/human Sciences,Tennessee,Off-Campus University Housing,All Scholarship Types,Female,PT,Non-Athlete,22,M,1996,,41,17,18,3.1,1,2,2,1,2000,0,2001,broad range of skills
Construction Trades,Hawaii,Off-Campus Other,Other,Male,PT,Athelete,17,M,1993,,141,6,95,3,3.9,3,1,0,1997,97,2000,
Education,Washington,On-Campus Dorm,None,Female,PT,RA,18,S,1990,,61,0,56,2.9,1.4,2,2,2,1994,94,1996,
Mechanic and Repair Technologies/technicians,New Jersey,On-Campus University Housing,Other,Male,FT,RA,25,M,2003,,92,88,1,2.4,3.8,0,1,1,2007,7,2007,
"Area, Ethnic, Cultural, Gender, and Group Studies",Iowa,Off-Campus Other,All Scholarship Types,Female,FT,RA,19,M,2001,,12,12,0,1,2.4,4,2,0,2005,5,2008,is intelligent and ambitious
Mathematics and Statistics,Guam,Commuter,None,Female,FT,Athelete,23,S,1995,,131,129,0,4,3.8,3,2,3,1999,99,2002,
Family and Consumer Sciences/human Sciences,Pennsylvania,On-Campus University Housing,University,Male,PT,Athelete,20,M,1988,,145,53,12,3.8,3.6,0,2,3,1992,92,1996,
Family and Consumer Sciences/human Sciences,Texas,Commuter,Private,Female,FT,Athelete,18,S,1999,,115,50,12,1.8,3.6,3,1,4,2003,3,2007,
Military Technologies and Applied Sciences,Illinois,Commuter,All Scholarship Types,Male,PT,Non-Athlete,24,M,2003,,103,88,1,3.1,3.2,4,2,3,2007,7,2007,first came to my attention when
Engineering Technologies and Engineering-Related Fields,Washington,Off-Campus University Housing,All Scholarship Types,Male,PT,RA,20,S,1987,,26,0,12,1.9,1.8,0,2,2,1991,91,1991,
Engineering,Virginia,On-Campus University Housing,University,Male,FT,Non-Athlete,17,M,2000,,141,29,43,4,2.3,4,1,2,2004,4,2007,works well with little supervision
Education,Alabama,Commuter,Private,Male,PT,Non-Athlete,21,M,1993,,124,100,22,3,1.1,4,2,0,1997,97,1998,
Military Technologies and Applied Sciences,Iowa,Off-Campus University Housing,University,Male,PT,Non-Athlete,17,M,1999,,103,64,4,3.4,2.1,2,1,3,2003,3,2005,
"Communication, Journalism, and Related Programs",Hawaii,Off-Campus Other,None,Male,PT,Non-Athlete,21,S,2002,,99,21,9,2.2,2.7,1,1,3,2006,6,2007,
Health Professions and Related Programs,Colorado,Off-Campus Other,Other,Female,FT,Non-Athlete,24,M,2004,,105,10,69,3.5,3.7,2,2,1,2008,8,2008,
Military Technologies and Applied Sciences,New Hampshire,Off-Campus University Housing,University,Female,FT,RA,19,S,2002,,46,35,5,2.4,2.3,1,1,0,2006,6,2006,
Engineering Technologies and Engineering-Related Fields,Utah,Off-Campus University Housing,University,Male,FT,Athelete,24,M,1997,,142,41,82,2.3,3.6,1,2,3,2001,1,2002,
Undeclared,Arkansas,On-Campus University Housing,University,Male,FT,RA,19,M,2004,,35,31,2,2.3,1.9,1,2,4,2008,8,2009,
