Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Mathematics and Statistics,Virgin Islands,Off-Campus Other,Private,Female,FT,All,25,M,1995,,15,4,2,,2.5,3,2,4,1999,99,1999,has my highest recommendation,25,No,No comment,1,No comment,no
Biological and Biomedical Sciences,Arkansas,Off-Campus Other,All Scholarship Types,Male,FT,RA,23,S,1994,,101,56,9,1.6,,3,1,0,1998,98,2002,,25,Yes,No comment,3,Yes,Yes
Library Science,Nevada,On-Campus Dorm,All Scholarship Types,Female,PT,RA,21,M,1985,,128,72,33,2.7,2.6,1,2,4,1989,89,1993,,21,Yes,no,3,no,Yes
Human Services,Arizona,Commuter,None,Male,PT,RA,24,S,1996,,107,24,48,3.3,3.8,1,1,2,2000,0,2003,,26,Yes,No comment,1,No comment,Yes
Architecture and Related Services,New Hampshire,Commuter,Private,Male,FT,Athelete,23,M,1990,,40,15,16,3.6,3.4,0,1,0,1994,94,1994,,24,UnSure,no,1,No comment,no
Communication Journalism and Related Programs,Guam,Commuter,Other,Male,FT,RA,17,S,2004,,19,3,14,2.8,4,0,1,1,2008,8,2012,,20,Yes,,2,Yes,
All Majors,Northern Marianas,Off-Campus University Housing,All Scholarship Types,Female,FT,All,25,S,2000,,11,10,1,3.3,2.8,1,1,4,2004,4,2008,first became acquainted with,28,UnSure,Yes,2,Yes,Yes
Multi/interdisciplinary Studies,Oregon,Off-Campus University Housing,Other,Male,FT,RA,25,M,1986,,3,0,2,2.7,2.3,3,2,4,1990,90,1992,am honored to support him as a student,29,UnSure,no,1,Yes,no
Multi/interdisciplinary Studies,Northern Marianas,Off-Campus University Housing,University,Male,PT,All,19,M,2004,,56,41,11,1.4,2,2,1,3,2008,8,2008,,23,No,Yes,2,No comment,no
Area- Ethnic- Cultural- Gender- and Group Studies,Tennessee,Off-Campus Other,Private,Male,FT,Athelete,17,M,1996,,62,31,1,0.75,3.8,3,1,4,2000,0,2002,can offer only the highest recommendation for,21,UnSure,Yes,3,Yes,Yes
Aviation,Illinois,Off-Campus Other,University,Female,PT,All,19,M,1997,,113,69,6,2.2,1.6,3,2,1,2001,1,2003,,22,UnSure,no,3,Yes,Yes
Biological and Biomedical Sciences,Kansas,Commuter,Other,Male,FT,RA,20,S,2004,,15,6,7,3.1,2.3,1,2,0,2008,8,2011,ADHD,24,No,no,1,No comment,No comment
Business Management Marketing and Related Support Services,Virginia,Off-Campus Other,None,Male,FT,RA,17,M,1988,,68,22,1,2.7,3.1,0,1,1,1992,92,1994,,17,No,,1,Yes,
Education,Maine,On-Campus Dorm,Other,Male,PT,RA,22,S,1996,,122,13,60,4,1.2,3,2,1,2000,0,2004,,25,UnSure,no,1,Yes,no
Computer and Information Sciences and Support Services,Utah,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,22,M,1986,,84,74,3,1.5,2,1,1,0,1990,90,1993,if you need additional information,25,No,No comment,3,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Oklahoma,On-Campus Dorm,Other,Female,PT,RA,20,M,1997,,51,48,0,1.9,1.3,2,2,1,2001,1,2001,one of our finest- most well-rounded undergraduates,21,Yes,no,1,no,No comment
Homeland Security- Law Enforcement- Firefighting,Iowa,On-Campus University Housing,Private,Female,PT,RA,19,M,2003,,127,63,2,2.3,1.5,2,2,2,2007,7,2011,,22,Yes,No comment,1,No comment,No comment
Foreign Languages Literatures and Linguistics,New Jersey,On-Campus University Housing,Other,Male,FT,All,25,M,2001,,75,56,4,3,1,4,1,2,2005,5,2007,,28,UnSure,No comment,1,Yes,no
Communications Technologies/technicians and Support Services,Kentucky,On-Campus Dorm,All Scholarship Types,Male,FT,Athelete,21,S,1994,,115,55,18,2.2,3.8,3,1,4,1998,98,1999,,23,Yes,Yes,1,No comment,Yes
Homeland Security- Law Enforcement- Firefighting,South Carolina,Commuter,University,Male,PT,All,20,S,1987,,47,29,10,3.2,3.8,0,1,2,1991,91,1992,has my highest recommendation,21,UnSure,no,3,No comment,No comment
Liberal Arts and Sciences Studies and Humanities,Tennessee,Off-Campus Other,University,Male,FT,Athelete,17,M,2004,,147,133,14,2.9,3.9,0,2,1,2008,8,2008,Hard working- hard worker,18,UnSure,,3,Yes,
Multi/interdisciplinary Studies,Massachusetts,Commuter,None,Male,FT,RA,17,M,1994,,75,50,21,2.1,1.5,4,2,0,1998,98,2001,Health issues,21,No,no,1,No comment,Yes
Engineering Technologies and Engineering-Related Fields,South Dakota,Off-Campus University Housing,None,Female,PT,Non-Athlete,24,M,2005,,8,5,1,3.3,3.5,3,1,1,2009,9,2013,,25,UnSure,Yes,3,no,No comment
Multi/interdisciplinary Studies,New York,On-Campus University Housing,None,Female,FT,RA,20,M,2000,,94,11,19,1.8,2.8,1,1,2,2004,4,2005,,23,No,no,1,No comment,No comment
Education,Alabama,Off-Campus Other,Other,Female,FT,RA,18,S,2003,,101,24,34,2,2,1,1,0,2007,7,2009,,18,Yes,,3,No comment,
Homeland Security- Law Enforcement- Firefighting,South Carolina,Off-Campus University Housing,None,Female,FT,Athelete,19,S,1997,,98,55,5,4,3.6,3,1,4,2001,1,2005,comparable to peers-,20,No,,3,no,
Area- Ethnic- Cultural- Gender- and Group Studies,Micronesia,On-Campus Dorm,University,Female,FT,Athelete,21,S,2004,,30,11,1,1.3,3.4,2,2,1,2008,8,2012,,23,No,Yes,1,no,Yes
Engineering,Wyoming,Off-Campus University Housing,Private,Female,FT,Athelete,21,M,1985,,100,66,11,3.5,3.6,1,1,3,1989,89,1990,,22,No,Yes,1,no,Yes
Mathematics and Statistics,American,Off-Campus University Housing,Other,Female,PT,RA,18,S,1989,,95,80,7,2,2.6,3,2,3,1993,93,1997,have known Ms. Doe for,20,Yes,,2,Yes,
Military Technologies and Applied Sciences,North Dakota,Off-Campus University Housing,University,Male,PT,Athelete,21,S,1992,,125,105,8,1,3.6,1,1,0,1996,96,1998,Health issues,24,Yes,Yes,1,Yes,Yes
Communication Journalism and Related Programs,Idaho,Commuter,Other,Male,PT,All,24,M,1990,,73,44,14,2.5,1.3,4,2,0,1994,94,1995,demonstrated particular strengths in,25,Yes,no,1,No comment,Yes
Family and Consumer Sciences/human Sciences,New Mexico,Off-Campus University Housing,None,Female,PT,Non-Athlete,23,M,1991,,38,24,4,1.1,1,1,2,1,1995,95,1997,is personable and easy to work with,27,Yes,Yes,3,Yes,No comment
Architecture and Related Services,Arkansas,On-Campus Dorm,None,Female,FT,RA,17,M,1990,,134,33,37,3,2.1,4,2,4,1994,94,1998,,21,Yes,no,3,No comment,No comment
Agriculture- Agriculture Operations- and Related Sciences,West Virginia,Off-Campus Other,Other,Female,PT,Athelete,21,M,1990,,95,79,14,2.6,4,4,2,2,1994,94,1994,is a tireless worker,24,No,No comment,2,no,Yes
Communications Technologies/technicians and Support Services,All Locations,Off-Campus University Housing,None,Female,FT,Athelete,20,M,2005,,142,51,72,1.8,3.4,0,2,3,2009,9,2009,,21,No,no,3,no,No comment
Communications Technologies/technicians and Support Services,Northern Marianas,On-Campus University Housing,Private,Male,FT,Non-Athlete,20,M,2004,,103,70,26,2,3.4,2,2,0,2008,8,2012,wide-range knowledge of,20,UnSure,,2,No comment,
Mathematics and Statistics,Florida,On-Campus University Housing,Other,Male,FT,All,24,M,1995,,25,5,0,2.1,3.9,4,1,4,1999,99,1999,self-motivated individual,24,No,no,3,Yes,no
History,Arkansas,Commuter,All Scholarship Types,Female,FT,Non-Athlete,20,M,1987,,66,48,18,3.2,2.4,0,2,3,1991,91,1995,,22,No,Yes,2,no,Yes
Business Management Marketing and Related Support Services,Kentucky,Off-Campus University Housing,University,Female,FT,All,23,S,1990,,33,5,28,1.1,3.2,2,2,2,1994,94,1994,,26,No,no,1,Yes,Yes
Family and Consumer Sciences/human Sciences,Kentucky,On-Campus Dorm,University,Male,FT,Non-Athlete,23,S,1986,,74,14,0,2.1,2.4,1,1,4,1990,90,1994,,27,UnSure,no,3,Yes,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Utah,On-Campus Dorm,Other,Male,FT,Non-Athlete,20,M,1991,,30,1,1,1.5,2.3,4,2,2,1995,95,1996,is a tireless worker,24,No,no,3,Yes,no
Homeland Security- Law Enforcement- Firefighting,Delaware,Commuter,All Scholarship Types,Male,FT,Athelete,17,S,2002,,107,93,3,1.7,3.5,2,1,2,2006,6,2010,,20,No,,2,Yes,
Family and Consumer Sciences/human Sciences,Alabama,On-Campus University Housing,Other,Female,FT,RA,24,M,1994,,18,8,5,3,2.5,3,1,2,1998,98,1998,,27,Yes,No comment,2,No comment,Yes
Agriculture- Agriculture Operations- and Related Sciences,Hawaii,On-Campus University Housing,Private,Female,FT,Athelete,22,M,1992,,80,21,56,3.1,3.9,1,1,1,1996,96,1997,should you have any questions,24,Yes,no,1,no,no
Agriculture- Agriculture Operations- and Related Sciences,Tennessee,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,23,M,2002,,9,5,0,2.9,1.2,4,2,2,2006,6,2008,,27,No,No comment,3,Yes,Yes
Communication Journalism and Related Programs,Wyoming,On-Campus Dorm,Other,Female,FT,All,24,M,1988,,82,35,26,2.7,3,3,2,4,1992,92,1993,,24,Yes,no,3,No comment,no
Engineering Technologies and Engineering-Related Fields,Oklahoma,On-Campus Dorm,None,Male,PT,Non-Athlete,25,M,1987,,96,79,13,3.6,2.7,1,2,1,1991,91,1995,,25,UnSure,No comment,2,No comment,Yes
Family and Consumer Sciences/human Sciences,Alabama,On-Campus University Housing,None,Female,FT,Athelete,18,M,2001,,133,13,110,3.2,3.4,0,1,3,2005,5,2006,meticulous attention to detail,21,Yes,Yes,3,Yes,Yes
Communications Technologies/technicians and Support Services,Colorado,Off-Campus Other,None,Female,PT,RA,25,S,1999,,136,47,11,1.7,3.5,1,1,4,2003,3,2004,would be an asset to your program,28,UnSure,No comment,1,no,Yes
Engineering Technologies and Engineering-Related Fields,Dist. of Columbia,On-Campus Dorm,Other,Female,FT,Non-Athlete,24,M,1998,,16,6,9,1.6,1.1,3,2,0,2002,2,2004,,24,UnSure,Yes,3,Yes,no
Undeclared,Nebraska,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,25,S,2004,,74,41,29,3.2,2.4,4,2,2,2008,8,2010,willing to take on new responsibilities,29,Yes,Yes,2,No comment,No comment
Education,California,On-Campus Dorm,Other,Female,FT,Athelete,18,S,1995,,51,16,26,2.2,3.7,0,1,1,1999,99,1999,will measure up to your high standards,22,No,Yes,1,Yes,no
Engineering Technologies and Engineering-Related Fields,Delaware,Off-Campus University Housing,Other,Male,FT,Athelete,18,M,2004,,4,1,0,1,4,2,2,0,2008,8,2010,,21,No,Yes,1,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Alaska,On-Campus University Housing,Private,Female,PT,RA,22,S,2002,,54,2,26,1.8,3.7,0,1,4,2006,6,2006,,25,No,no,1,no,no
All Majors,Wisconsin,Commuter,None,Female,FT,Non-Athlete,20,S,1986,,141,89,4,3.5,,4,1,2,1990,90,1993,has a flair for organization,24,No,no,3,No comment,No comment
Multi/interdisciplinary Studies,Nevada,Off-Campus University Housing,University,Female,FT,All,19,M,1997,,67,64,3,1.2,2.8,3,2,4,2001,1,2004,handles responsibility well,19,Yes,,2,no,
Library Science,New York,Commuter,All Scholarship Types,Female,FT,Non-Athlete,22,M,1986,,147,108,10,3.3,1.8,2,2,1,1990,90,1994,will measure up to your high standards,22,No,Yes,1,no,Yes
Engineering Technologies and Engineering-Related Fields,Delaware,On-Campus University Housing,None,Male,PT,Athelete,20,S,1985,,132,42,46,1,3.9,0,1,0,1989,89,1992,handles responsibility well,21,UnSure,No comment,1,Yes,no
Engineering Technologies and Engineering-Related Fields,Washington,Commuter,Private,Female,PT,RA,20,M,1986,,127,13,18,1,1.5,1,1,2,1990,90,1992,am happy to recommend,23,Yes,No comment,2,no,no
History,Rhode Island,On-Campus Dorm,All Scholarship Types,Male,PT,RA,17,M,1991,,51,24,5,2.9,0.75,3,1,1,1995,95,1999,,19,Yes,,1,Yes,
Engineering,North Dakota,Off-Campus Other,None,Female,FT,All,23,M,1985,,14,6,1,1.8,3.8,2,1,4,1989,89,1991,am happy to recommend,27,Yes,No comment,2,No comment,No comment
Military Technologies and Applied Sciences,South Dakota,On-Campus University Housing,Private,Male,FT,Non-Athlete,24,M,1989,,79,14,3,,3.8,3,2,2,1993,93,1995,,28,No,no,3,Yes,Yes
All Majors,Florida,Off-Campus University Housing,Other,Female,FT,RA,18,M,2004,,60,21,14,2.6,2.5,3,2,2,2008,8,2010,,19,No,,1,No comment,
English Language and Literature/letters,Rhode Island,Commuter,None,Female,FT,RA,17,M,1990,,43,23,16,2.7,1.3,0,2,0,1994,94,1997,,18,UnSure,,3,Yes,
Multi/interdisciplinary Studies,Oregon,Off-Campus University Housing,University,Female,PT,All,25,M,2003,,67,38,18,3.1,3.2,1,1,3,2007,7,2009,,25,UnSure,no,2,No comment,Yes
History,North Carolina,On-Campus University Housing,Other,Male,FT,Non-Athlete,25,M,1999,,32,6,1,1,3.4,3,2,4,2003,3,2003,handles responsibility well,25,Yes,no,1,No comment,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Massachusetts,On-Campus University Housing,None,Female,FT,RA,22,M,2005,,119,109,4,1,1.7,0,2,3,2009,9,2011,can offer only the highest recommendation for,23,UnSure,No comment,2,Yes,No comment
Mathematics and Statistics,West Virginia,On-Campus University Housing,Private,Male,PT,Athelete,23,S,1987,,133,123,8,3.4,3.4,1,2,1,1991,91,1995,handles responsibility well,27,UnSure,Yes,1,Yes,no
Communications Technologies/technicians and Support Services,All Locations,On-Campus Dorm,Other,Male,PT,Athelete,24,M,2004,,131,115,11,3.7,3.7,1,2,4,2008,8,2009,if you need additional information,27,Yes,no,1,Yes,no
Engineering Technologies and Engineering-Related Fields,Indiana,On-Campus University Housing,All Scholarship Types,Female,FT,All,20,S,2004,,128,79,1,3.5,1.4,3,2,4,2008,8,2008,,20,No,,3,No comment,
Agriculture- Agriculture Operations- and Related Sciences,Puerto Rico,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,23,S,1999,,65,54,0,2.7,1.4,3,2,0,2003,3,2004,was a student in two of my classes,24,Yes,No comment,1,No comment,No comment
Homeland Security- Law Enforcement- Firefighting,Illinois,Commuter,None,Female,FT,RA,21,S,1985,,15,7,6,1.1,2.9,0,1,1,1989,89,1991,,23,Yes,Yes,2,Yes,Yes
Homeland Security- Law Enforcement- Firefighting,Arkansas,Off-Campus Other,Private,Female,FT,RA,22,M,2002,,84,56,24,2.7,0.75,1,2,0,2006,6,2006,,25,UnSure,no,2,no,no
Architecture and Related Services,South Dakota,Commuter,Other,Female,FT,Athelete,18,M,1993,,38,10,12,3.5,3.8,3,2,3,1997,97,1999,her performance as a,22,Yes,No comment,3,Yes,no
Communications Technologies/technicians and Support Services,New York,Off-Campus Other,Private,Female,PT,Athelete,22,S,2000,,103,24,35,,3.5,2,1,2,2004,4,2008,,25,No,no,1,no,No comment
Business Management Marketing and Related Support Services,New Mexico,Off-Campus University Housing,University,Male,FT,Athelete,23,S,1990,,68,2,9,1.2,3.4,3,2,2,1994,94,1995,,27,UnSure,No comment,2,No comment,Yes
Business Management Marketing and Related Support Services,New Hampshire,On-Campus Dorm,All Scholarship Types,Male,FT,RA,18,S,2005,,31,6,16,3.7,1.6,0,1,3,2009,9,2011,willing to go beyond what is required,21,Yes,No comment,1,No comment,no
Area- Ethnic- Cultural- Gender- and Group Studies,American,Commuter,None,Male,FT,Non-Athlete,21,S,1995,,122,64,57,2.6,3.5,0,1,0,1999,99,2003,,24,Yes,no,3,No comment,no
Mathematics and Statistics,Oklahoma,On-Campus Dorm,Private,Male,FT,Non-Athlete,19,S,1997,,103,67,14,,3.7,2,1,4,2001,1,2005,always cheerful and dependable,19,UnSure,,2,Yes,
Computer and Information Sciences and Support Services,Indiana,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,23,S,1987,,143,41,83,2.4,2.4,1,1,1,1991,91,1991,,24,UnSure,no,1,Yes,no
Engineering,North Dakota,Commuter,University,Female,PT,RA,20,M,2004,,141,78,37,,0.75,2,2,0,2008,8,2010,,20,Yes,,2,Yes,
Business Management Marketing and Related Support Services,Marshall Islands,On-Campus University Housing,All Scholarship Types,Male,FT,All,17,M,1991,,49,47,2,0.75,2.4,4,2,2,1995,95,1996,willing to take on new responsibilities,21,UnSure,No comment,2,No comment,no
Health Professions and Related Programs,Georgia,Off-Campus Other,University,Male,FT,RA,20,S,1994,,66,62,0,1.8,2.4,4,2,2,1998,98,1999,will be successful in any enterprise he undertakes,24,No,No comment,1,Yes,no
Multi/interdisciplinary Studies,Delaware,On-Campus Dorm,Private,Male,FT,Athelete,21,S,1993,,26,4,20,2.1,3.7,3,2,4,1997,97,2000,give my unqualified recommendation,24,No,no,1,No comment,No comment
Biological and Biomedical Sciences,New Mexico,On-Campus University Housing,Other,Female,FT,RA,25,S,1992,,5,5,0,1.3,2.8,3,2,2,1996,96,1998,comparable to peers-,25,Yes,Yes,3,Yes,Yes
Communications Technologies/technicians and Support Services,Nebraska,Commuter,None,Female,FT,RA,24,M,1996,,128,61,1,3.1,2.2,3,1,0,2000,0,2000,am pleased to comment on,27,UnSure,no,3,Yes,no
Health Professions and Related Programs,Utah,On-Campus Dorm,None,Female,FT,Athelete,24,S,1996,,70,10,42,4,3.7,2,2,3,2000,0,2000,,24,UnSure,Yes,1,No comment,Yes
Family and Consumer Sciences/human Sciences,Oregon,Commuter,University,Male,PT,RA,24,M,1991,,139,12,90,1.3,1.3,2,2,1,1995,95,1995,understands/utilizes,28,No,No comment,2,No comment,Yes
Foreign Languages Literatures and Linguistics,Rhode Island,Off-Campus Other,None,Female,PT,Non-Athlete,17,M,1995,,24,1,13,2.2,3.9,2,1,4,1999,99,2001,always behaves professionally,20,Yes,,3,No comment,
Military Technologies and Applied Sciences,Kentucky,Off-Campus Other,Private,Female,PT,Non-Athlete,19,S,2003,,99,12,78,2.9,2.6,3,2,3,2007,7,2010,his qualifications and performance,22,Yes,No comment,2,No comment,No comment
Education,American,Off-Campus University Housing,Other,Female,FT,Non-Athlete,21,M,1990,,140,17,0,2.8,3.6,0,1,1,1994,94,1997,recommend without reservation,23,UnSure,Yes,3,Yes,Yes
Engineering Technologies and Engineering-Related Fields,Kentucky,On-Campus Dorm,Private,Male,PT,Athelete,17,S,1989,,84,3,25,2.5,3.9,1,1,3,1993,93,1993,,18,Yes,,2,No comment,
Mathematics and Statistics,Marshall Islands,Commuter,Private,Female,PT,Athelete,19,M,1987,,24,2,21,1.1,3.9,3,1,0,1991,91,1991,works well with little supervision,21,Yes,No comment,2,Yes,no
Library Science,New Hampshire,Commuter,None,Male,FT,All,20,M,1986,,58,12,46,2.6,3,2,2,4,1990,90,1991,,20,UnSure,,1,Yes,
English Language and Literature/letters,Ohio,Off-Campus Other,Private,Male,FT,All,21,S,1991,,71,29,9,3.9,1.8,2,2,0,1995,95,1998,has worked directly under my supervision,22,Yes,no,3,Yes,no
Construction Trades,Georgia,Off-Campus University Housing,None,Male,FT,RA,17,S,1997,,142,80,51,2.7,1.2,0,2,0,2001,1,2001,,20,Yes,,1,No comment,
Engineering Technologies and Engineering-Related Fields,California,Off-Campus University Housing,Private,Male,PT,All,20,S,1994,,129,12,104,3.6,1.8,0,1,0,1998,98,1999,will meet your expectations,21,Yes,no,1,Yes,No comment
Family and Consumer Sciences/human Sciences,Puerto Rico,Off-Campus Other,None,Male,PT,Non-Athlete,18,S,1999,,92,34,26,2.1,3.6,3,2,3,2003,3,2006,,19,Yes,,3,Yes,
Military Technologies and Applied Sciences,Northern Marianas,Off-Campus Other,University,Male,FT,Non-Athlete,25,M,1991,,55,45,0,3.9,3.7,0,1,2,1995,95,1997,give my unqualified recommendation,28,UnSure,Yes,1,No comment,No comment
Communication Journalism and Related Programs,American,On-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,23,S,1999,,43,32,0,2.2,2,3,2,3,2003,3,2007,ADHD,26,No,No comment,3,Yes,No comment
Architecture and Related Services,Hawaii,Off-Campus Other,University,Male,FT,Athelete,21,S,1997,,9,2,2,3.8,3.7,1,1,4,2001,1,2004,,21,UnSure,No comment,1,No comment,No comment
All Majors,North Dakota,On-Campus Dorm,University,Male,PT,RA,19,S,1999,,51,41,7,2.9,2.6,3,1,1,2003,3,2003,,19,No,,1,Yes,
Legal Professions and Studies,Montana,Off-Campus University Housing,None,Female,FT,Athelete,23,S,2003,,37,10,26,3.2,3.4,1,1,4,2007,7,2009,request your favorable consideration of,24,No,No comment,2,No comment,No comment
Family and Consumer Sciences/human Sciences,Utah,Off-Campus Other,All Scholarship Types,Female,PT,RA,23,S,1986,,5,0,2,0.75,,4,2,2,1990,90,1990,,23,No,No comment,3,No comment,No comment
Library Science,West Virginia,Commuter,Other,Female,FT,RA,21,S,1989,,70,45,24,3,2.3,2,1,0,1993,93,1996,conventions/grammar rule,23,UnSure,No comment,1,No comment,no
Architecture and Related Services,Missouri,Off-Campus University Housing,University,Female,PT,RA,22,S,1997,,85,17,57,1.2,3,4,2,3,2001,1,2002,meticulous attention to detail,23,No,no,3,No comment,No comment
Area- Ethnic- Cultural- Gender- and Group Studies,Florida,On-Campus Dorm,University,Male,FT,All,20,M,1991,,149,106,27,2.8,1.3,1,2,4,1995,95,1996,punctual and hard working,22,Yes,no,2,Yes,no
Communications Technologies/technicians and Support Services,Guam,On-Campus University Housing,University,Female,FT,Non-Athlete,23,S,1989,,149,70,47,1.6,3.4,2,1,2,1993,93,1995,am pleased to comment on,23,UnSure,no,1,Yes,Yes
Military Technologies and Applied Sciences,Massachusetts,On-Campus Dorm,University,Male,PT,Non-Athlete,18,S,1988,,37,25,5,3.4,2.3,0,1,0,1992,92,1996,,22,Yes,no,1,Yes,no
Mechanic and Repair Technologies/technicians,Delaware,Commuter,University,Female,FT,Athelete,18,S,1991,,79,59,9,3.2,3.5,1,1,4,1995,95,1999,,19,UnSure,,2,Yes,
English Language and Literature/letters,Michigan,Commuter,University,Female,FT,RA,25,S,1986,,39,23,0,1.3,3.7,2,1,1,1990,90,1991,completely loyal and trustworthy,25,UnSure,Yes,1,Yes,no
Aviation,Micronesia,Off-Campus University Housing,None,Male,FT,Athelete,17,M,1990,,138,4,57,2,,3,2,1,1994,94,1994,will be a credit to your,19,No,,2,No comment,
Family and Consumer Sciences/human Sciences,Minnesota,Off-Campus Other,Private,Female,PT,All,18,M,1999,,106,25,12,2.2,2.4,4,2,1,2003,3,2004,comparable to peers-,18,UnSure,,1,No comment,
Communication Journalism and Related Programs,Florida,On-Campus Dorm,University,Female,FT,Athelete,19,M,2002,,135,90,41,3.8,,2,2,4,2006,6,2006,,22,No,Yes,2,no,No comment
Family and Consumer Sciences/human Sciences,Louisiana,On-Campus Dorm,Private,Male,FT,RA,22,S,1997,,104,94,1,3.3,3.1,2,2,2,2001,1,2004,request your favorable consideration of,26,UnSure,No comment,3,Yes,Yes
Foreign Languages Literatures and Linguistics,South Dakota,On-Campus University Housing,Other,Female,FT,Athelete,23,M,2002,,97,80,11,1.8,3.5,2,1,3,2006,6,2009,,25,UnSure,Yes,2,No comment,no
Family and Consumer Sciences/human Sciences,Alabama,Off-Campus University Housing,Other,Male,PT,Non-Athlete,24,M,2001,,37,34,3,2.1,2,0,2,1,2005,5,2005,,24,Yes,no,2,Yes,Yes
Undeclared,American,Commuter,Private,Male,PT,All,22,M,2005,,118,13,88,1.7,2.6,0,2,0,2009,9,2011,,26,No,No comment,2,No comment,No comment
Engineering Technologies and Engineering-Related Fields,South Dakota,Off-Campus University Housing,University,Female,PT,Athelete,25,M,1998,,115,94,18,3.2,4,4,1,0,2002,2,2002,would be a valuable addition to any organization,28,UnSure,no,2,No comment,No comment
Business Management Marketing and Related Support Services,Vermont,On-Campus Dorm,None,Male,PT,All,18,M,2000,,148,117,11,2.8,3.6,2,1,3,2004,4,2007,will measure up to your high standards,19,Yes,,1,No comment,
Engineering,New Jersey,Off-Campus Other,None,Male,FT,RA,25,M,2001,,91,53,35,1,3.8,1,1,3,2005,5,2008,keeps calm under pressure,25,Yes,Yes,1,No comment,No comment
Architecture and Related Services,New Jersey,Commuter,University,Female,FT,Non-Athlete,23,S,2005,,38,23,15,3.2,4,2,1,3,2009,9,2012,first became acquainted with,26,UnSure,Yes,1,Yes,No comment
Mechanic and Repair Technologies/technicians,Alabama,On-Campus Dorm,University,Male,PT,Athelete,21,M,1989,,53,38,8,2.7,4,4,1,0,1993,93,1993,can offer only the highest recommendation for,22,UnSure,no,1,Yes,No comment
Computer and Information Sciences and Support Services,Washington,Off-Campus University Housing,University,Male,FT,Athelete,19,M,1992,,34,10,24,1.8,3.7,4,2,3,1996,96,1998,a creative problem-solver,23,Yes,no,2,Yes,no
Multi/interdisciplinary Studies,Mississippi,Off-Campus Other,All Scholarship Types,Male,PT,RA,20,S,1985,,71,32,17,0.75,2.3,2,2,0,1989,89,1990,was a student in two of my classes,20,No,,1,Yes,
Legal Professions and Studies,New Jersey,On-Campus Dorm,None,Male,FT,RA,22,M,2005,,99,43,43,1.8,2.8,0,1,4,2009,9,2009,,23,Yes,no,1,Yes,Yes
Communication Journalism and Related Programs,Alabama,Off-Campus Other,All Scholarship Types,Female,FT,All,22,M,2003,,14,4,0,2.2,1.4,3,1,0,2007,7,2011,,26,UnSure,No comment,2,no,Yes
Library Science,Colorado,Commuter,University,Female,FT,All,19,M,1986,,40,2,30,3.1,3.2,4,1,4,1990,90,1993,is a pleasure to recommend,19,No,,2,No comment,
Education,Maryland,Off-Campus University Housing,Private,Male,PT,RA,22,S,1995,,10,5,3,4,3.9,1,2,1,1999,99,2003,always behaves professionally,23,No,No comment,2,Yes,Yes
Agriculture- Agriculture Operations- and Related Sciences,Iowa,Off-Campus University Housing,Other,Female,FT,RA,19,S,1987,,35,29,5,1.1,3.3,2,2,0,1991,91,1995,her performance as a,21,UnSure,no,2,No comment,no
Military Technologies and Applied Sciences,All Locations,Commuter,University,Male,PT,All,17,M,1989,,47,18,19,2.4,3.2,2,1,1,1993,93,1997,,20,Yes,,3,Yes,
Engineering Technologies and Engineering-Related Fields,Michigan,Off-Campus University Housing,None,Female,PT,All,21,M,1998,,10,3,1,1,1.6,0,1,0,2002,2,2004,keeps calm under pressure,25,UnSure,Yes,2,no,Yes
Family and Consumer Sciences/human Sciences,Dist. of Columbia,Off-Campus Other,None,Female,FT,Athelete,20,M,1999,,127,91,1,2.6,3.8,4,1,1,2003,3,2006,am happy to recommend,20,No,,1,No comment,
Foreign Languages Literatures and Linguistics,Mississippi,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,20,M,2005,,139,57,76,3.4,3.9,4,2,3,2009,9,2013,,20,Yes,,1,Yes,
Health Professions and Related Programs,Arkansas,Off-Campus Other,All Scholarship Types,Female,PT,Non-Athlete,22,S,1998,,48,24,5,3.9,3.5,2,2,1,2002,2,2005,,22,No,no,1,no,Yes
Legal Professions and Studies,Alabama,On-Campus Dorm,All Scholarship Types,Female,FT,All,18,M,1996,,69,44,10,2.9,4,4,1,0,2000,0,2004,,22,UnSure,Yes,1,no,No comment
History,Montana,Off-Campus Other,Other,Male,FT,All,19,S,1989,,55,8,2,3.8,1.4,1,2,4,1993,93,1994,have been his supervisor since,22,No,No comment,1,No comment,no
